n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
25,20,10,1,0.6,50,7,0.0013127326965332,13,15,"['B1', 'A2', 'A4', 'B2', 'A5', 'B3', 'A6', 'A7', 'A8', 'RMA', 'A9', 'B7', 'B8', 'B9', 'B10', 'B11', 'B13', 'A11', 'A12', 'B14', 'A13', 'B15', 'A14', 'B16', 'A15', 'A16', 'B17', 'B18', 'B19', 'A17', 'A18', 'B20', 'A19', 'A20', 'B21', 'A21', 'A22', 'B22', 'B23', 'B24', 'A23', 'A24', 'B25', 'A25']","['A1', 'A3', 'B4', 'B5', 'B6', 'B12', 'A10']"
25,20,10,1,0.6,50,8,0.0015830993652343,25,15,"['A2', 'RMA', 'B3', 'B4', 'B5', 'B6', 'A4', 'A5', 'A6', 'A7', 'A8', 'B7', 'A9', 'A10', 'B8', 'B9', 'B10', 'A11', 'B11', 'B12', 'B13', 'B14', 'B15', 'B16', 'A13', 'B17', 'B18', 'B19', 'B20', 'A14', 'A15', 'A16', 'A18', 'B22', 'A20', 'A21', 'B24', 'A22', 'B25', 'A23', 'A24', 'A25']","['B1', 'B2', 'A1', 'A3', 'A12', 'A17', 'B21', 'B23', 'A19']"
25,20,10,1,0.6,50,9,0.0014591217041015,-99999,-99999,[],[]
25,20,10,1,0.6,50,10,0.001755952835083,43,15,"['A3', 'B4', 'B5', 'B6', 'B8', 'B9', 'A8', 'A10', 'B11', 'B12', 'A12', 'A13', 'RMA', 'A14', 'A15', 'A16', 'B14', 'B15', 'A17', 'A18', 'B16', 'B17', 'A19', 'A20', 'A21', 'B18', 'B19', 'B20', 'B22', 'B23', 'A22', 'B24', 'B25', 'A24']","['A1', 'B1', 'A2', 'B2', 'B3', 'A4', 'A5', 'A6', 'A7', 'B7', 'B10', 'A9', 'A11', 'B13', 'B21', 'A23', 'A25']"
25,20,10,1,0.6,50,11,0.0014247894287109,33,15,"['A3', 'RMA', 'B5', 'A6', 'B6', 'A7', 'B7', 'B8', 'A10', 'B9', 'A11', 'A12', 'A14', 'B10', 'A15', 'A16', 'B11', 'B12', 'B13', 'B14', 'B15', 'A17', 'B16', 'B17', 'A18', 'A19', 'A20', 'B18', 'A21', 'B19', 'B20', 'A22', 'A23', 'A24', 'B21', 'B22', 'B23', 'B24', 'A25', 'B25']","['B1', 'A1', 'A2', 'A4', 'B2', 'B3', 'B4', 'A5', 'A8', 'A9', 'A13']"
25,20,10,1,0.6,50,12,0.0014069080352783,20,15,"['A1', 'B2', 'A2', 'B4', 'B5', 'A3', 'A4', 'B7', 'A6', 'B8', 'A8', 'RMA', 'A10', 'A11', 'A12', 'B11', 'A14', 'A15', 'A16', 'A17', 'B12', 'B13', 'A18', 'B14', 'B15', 'B16', 'B17', 'B18', 'A19', 'B19', 'A20', 'B21', 'A21', 'B22', 'A22', 'B23', 'A23', 'A24', 'B24', 'B25', 'A25']","['B1', 'B3', 'B6', 'A5', 'A7', 'B9', 'A9', 'B10', 'A13', 'B20']"
25,20,10,1,0.6,50,13,0.0014591217041015,6,15,"['B2', 'B4', 'B5', 'B6', 'A1', 'B7', 'RMA', 'A4', 'B10', 'A5', 'B11', 'B12', 'A6', 'B13', 'A7', 'B14', 'A8', 'B15', 'A9', 'A10', 'A11', 'B16', 'A12', 'A13', 'A14', 'A15', 'B18', 'B19', 'A16', 'A17', 'A18', 'B20', 'B21', 'A19', 'B22', 'A20', 'A21', 'A22', 'A23', 'A24', 'B23', 'B24', 'B25', 'A25']","['B1', 'B3', 'A2', 'B8', 'A3', 'B9', 'B17']"
25,20,10,1,0.6,50,14,0.0012359619140625,9,15,"['B1', 'B2', 'A5', 'RMA', 'A6', 'B7', 'A7', 'B8', 'A8', 'B9', 'A9', 'A10', 'A11', 'B10', 'A12', 'A13', 'B11', 'B12', 'A14', 'B13', 'A15', 'B14', 'B15', 'A16', 'B16', 'A17', 'B17', 'A18', 'B18', 'B19', 'A19', 'A20', 'A21', 'B21', 'A22', 'A23', 'A24', 'B23', 'A25', 'B24', 'B25']","['A1', 'B3', 'B4', 'B5', 'B6', 'A2', 'A3', 'A4', 'B20', 'B22']"
25,20,10,1,0.6,50,15,0.0014359951019287,7,15,"['A1', 'A2', 'A5', 'A6', 'B2', 'B3', 'A8', 'RMA', 'B5', 'B6', 'B7', 'A9', 'A10', 'B9', 'B10', 'B11', 'A11', 'A12', 'A13', 'A14', 'A15', 'A16', 'B13', 'B14', 'B15', 'B16', 'B17', 'A17', 'B18', 'B19', 'A18', 'B20', 'B21', 'A19', 'A20', 'A21', 'A22', 'B23', 'B24', 'A23', 'B25', 'A24', 'A25']","['A3', 'B1', 'A4', 'A7', 'B4', 'B8', 'B12', 'B22']"
25,20,10,1,0.6,50,16,0.0012521743774414,12,15,"['A2', 'RMA', 'B2', 'A3', 'A5', 'B3', 'A6', 'B4', 'A7', 'A8', 'A9', 'A10', 'B5', 'B6', 'A11', 'B7', 'A12', 'B8', 'B9', 'B10', 'B11', 'A13', 'B12', 'A14', 'B13', 'B15', 'B16', 'A15', 'B17', 'A16', 'A17', 'A18', 'A19', 'B20', 'A20', 'A21', 'A22', 'B21', 'A23', 'B22', 'B23', 'A24', 'B24', 'A25']","['A1', 'B1', 'A4', 'B14', 'B18', 'B19', 'B25']"
25,20,10,1,0.6,50,17,0.0014922618865966,17,15,"['A4', 'B1', 'B3', 'A8', 'A9', 'A10', 'B4', 'RMA', 'A11', 'B6', 'B7', 'A12', 'B8', 'B9', 'A13', 'B10', 'B11', 'B12', 'A14', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'B14', 'B15', 'B16', 'B17', 'A21', 'A22', 'B18', 'B19', 'A23', 'B21', 'B22', 'A24', 'A25', 'B23', 'B24', 'B25']","['A1', 'A2', 'A3', 'B2', 'A5', 'A6', 'A7', 'B5', 'B13', 'B20']"
25,20,10,1,0.6,50,18,0.0013949871063232,39,15,"['A3', 'B1', 'B3', 'B4', 'B5', 'A9', 'B6', 'B7', 'A10', 'B8', 'A11', 'B9', 'A12', 'A13', 'A16', 'RMA', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'A18', 'A19', 'B18', 'A20', 'A21', 'B19', 'B20', 'A22', 'A23', 'B21', 'A24', 'B24', 'B25', 'A25']","['A1', 'A2', 'A4', 'B2', 'A5', 'A6', 'A7', 'A8', 'A14', 'A15', 'B10', 'B11', 'A17', 'B22', 'B23']"
25,20,10,1,0.6,50,19,0.0013849735260009,16,15,"['A5', 'B3', 'A6', 'B4', 'A7', 'A8', 'RMA', 'A9', 'B7', 'A10', 'A11', 'B9', 'B10', 'B11', 'A12', 'B12', 'B13', 'A13', 'B14', 'B16', 'B17', 'A14', 'A15', 'A16', 'A17', 'B18', 'A18', 'A19', 'B19', 'A20', 'A21', 'A22', 'A23', 'B20', 'B21', 'B22', 'B23', 'A24', 'B24', 'B25', 'A25']","['A1', 'B1', 'A2', 'A3', 'A4', 'B2', 'B5', 'B6', 'B8', 'B15']"
25,20,10,1,0.6,50,20,0.0016050338745117,18,15,"['B1', 'B2', 'A2', 'A3', 'B3', 'A4', 'B5', 'A5', 'RMA', 'B8', 'A6', 'A7', 'A8', 'B10', 'B11', 'B12', 'B13', 'A10', 'A11', 'B15', 'A13', 'A15', 'A16', 'B17', 'B18', 'B20', 'A18', 'B21', 'A19', 'A20', 'B22', 'B23', 'A21', 'A22', 'B24', 'B25', 'A23', 'A24', 'A25']","['A1', 'B4', 'B6', 'B7', 'B9', 'A9', 'B14', 'A12', 'B16', 'A14', 'A17', 'B19']"
25,20,10,1,0.6,50,21,0.0013942718505859,12,15,"['A3', 'A4', 'A5', 'RMA', 'B4', 'B6', 'B7', 'B8', 'A8', 'A9', 'B9', 'B10', 'A10', 'A11', 'B11', 'A13', 'B12', 'B13', 'A14', 'B14', 'A15', 'A16', 'A17', 'B15', 'A18', 'A19', 'B16', 'B17', 'B18', 'B19', 'A20', 'A21', 'A22', 'B20', 'A23', 'B21', 'B22', 'A24', 'B23', 'B24', 'B25', 'A25']","['B1', 'A1', 'A2', 'B2', 'B3', 'A6', 'B5', 'A7', 'A12']"
25,20,10,1,0.6,50,22,0.0016090869903564,29,15,"['B2', 'A1', 'B4', 'B5', 'A3', 'A5', 'B7', 'B8', 'B9', 'A9', 'A10', 'B10', 'RMA', 'B11', 'A11', 'B12', 'A14', 'B13', 'B14', 'B15', 'A16', 'B16', 'A17', 'B17', 'B18', 'A18', 'A19', 'A20', 'B19', 'B20', 'A23', 'B21', 'B22', 'B23', 'B24', 'B25', 'A24', 'A25']","['B1', 'B3', 'A2', 'A4', 'B6', 'A6', 'A7', 'A8', 'A12', 'A13', 'A15', 'A21', 'A22']"
25,20,10,1,0.6,50,23,0.0015358924865722,-99999,-99999,[],[]
25,20,10,1,0.6,50,24,0.0014488697052001,6,15,"['A1', 'A2', 'A4', 'A6', 'B4', 'B5', 'A7', 'A8', 'A9', 'A10', 'RMA', 'A12', 'B7', 'A13', 'B8', 'B9', 'B10', 'A14', 'B11', 'A15', 'B12', 'A16', 'B13', 'A17', 'A18', 'B14', 'B15', 'A19', 'B16', 'B17', 'B18', 'A20', 'B19', 'B20', 'B21', 'A21', 'B22', 'B23', 'A22', 'A23', 'A24', 'B24', 'B25', 'A25']","['B1', 'A3', 'B2', 'A5', 'B3', 'A11', 'B6']"
25,20,10,1,0.6,50,25,0.0014569759368896,30,15,"['B1', 'B4', 'RMA', 'A5', 'B6', 'B7', 'A7', 'B8', 'B9', 'B10', 'B11', 'A9', 'B12', 'A10', 'B13', 'A11', 'A12', 'A13', 'B14', 'A14', 'B15', 'B16', 'A15', 'A16', 'A17', 'A18', 'A19', 'A20', 'A21', 'B17', 'B18', 'B19', 'B20', 'A22', 'A23', 'B21', 'B22', 'B23', 'A24', 'B24', 'A25', 'B25']","['A1', 'B2', 'B3', 'A2', 'A3', 'A4', 'B5', 'A6', 'A8']"
25,20,10,1,0.6,50,26,0.00166916847229,-99999,-99999,[],[]
