n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,schedule,deferred
25,20,10,0,0.3,50,11,0.0781331062316894,311,"['A5', 'A6', 'A9', 'A10', 'A11', 'A13', 'A14', 'A17', 'A20', 'A21', 'A24', 'B20', 'A25', 'B21', 'B25']","['B1', 'B2', 'A1', 'B3', 'A2', 'B4', 'A3', 'A4', 'B5', 'A7', 'B6', 'A8', 'B7', 'B8', 'B9', 'A12', 'B10', 'B11', 'B12', 'B13', 'B14', 'B15', 'A15', 'A16', 'B16', 'A18', 'A19', 'B17', 'A22', 'B18', 'B19', 'A23', 'B22', 'B23', 'B24']"
25,20,10,0,0.3,50,12,0.0714197158813476,240,"['A2', 'A4', 'B10', 'A6', 'A10', 'B13', 'B14', 'A13', 'A14', 'A15', 'B18', 'B21', 'A17', 'A18', 'A19', 'A20', 'A22', 'A23', 'A24', 'A25']","['A1', 'B1', 'A3', 'B2', 'B3', 'B4', 'A5', 'B5', 'B6', 'B7', 'B8', 'B9', 'A7', 'B11', 'A8', 'A9', 'B12', 'A11', 'A12', 'B15', 'B16', 'B17', 'B19', 'B20', 'A16', 'B22', 'B23', 'A21', 'B24', 'B25']"
25,20,10,0,0.3,50,13,0.0795390605926513,316,"['B2', 'A5', 'A8', 'A9', 'A12', 'A14', 'A15', 'A16', 'B11', 'A17', 'A18', 'A19', 'A20', 'A22', 'B24', 'A24', 'A25']","['B1', 'A1', 'A2', 'B3', 'A3', 'A4', 'A6', 'B4', 'B5', 'A7', 'B6', 'B7', 'A10', 'A11', 'B8', 'B9', 'B10', 'A13', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'B21', 'B22', 'A21', 'B23', 'A23', 'B25']"
25,20,10,0,0.3,50,14,0.0792567729949951,330,"['A2', 'A8', 'A10', 'A12', 'A13', 'A15', 'A16', 'A17', 'A21', 'A22', 'A24', 'A25', 'B20', 'B21', 'B22', 'B25']","['A1', 'A3', 'B1', 'A4', 'A5', 'B2', 'B3', 'B4', 'B5', 'B6', 'A6', 'B7', 'B8', 'A7', 'A9', 'A11', 'B9', 'A14', 'A18', 'A19', 'B10', 'B11', 'A20', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'A23', 'B18', 'B19', 'B23', 'B24']"
25,20,10,0,0.3,50,15,0.0930628776550293,330,"['A4', 'B1', 'B2', 'A8', 'A11', 'A14', 'A15', 'A16', 'B12', 'A17', 'A20', 'A21', 'A22', 'B19', 'A24', 'B24', 'A25', 'B25']","['A1', 'A2', 'A3', 'A5', 'A6', 'A7', 'B3', 'B4', 'B5', 'B6', 'A9', 'A10', 'B7', 'B8', 'A12', 'A13', 'B9', 'B10', 'B11', 'A18', 'A19', 'B13', 'B14', 'B15', 'B16', 'B17', 'B18', 'A23', 'B20', 'B21', 'B22', 'B23']"
25,20,10,0,0.3,50,16,0.0576119422912597,239,"['A3', 'A4', 'A5', 'A6', 'A7', 'A9', 'B10', 'B13', 'B16', 'A13', 'A14', 'A16', 'A17', 'A18', 'A19', 'A20', 'B23', 'A22', 'A23', 'B24', 'A24', 'B25', 'A25']","['A1', 'B1', 'A2', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'A8', 'A10', 'B8', 'B9', 'B11', 'B12', 'B14', 'B15', 'A11', 'A12', 'B17', 'B18', 'A15', 'B19', 'B20', 'B21', 'B22', 'A21']"
25,20,10,0,0.3,50,17,0.0708320140838623,219,"['A4', 'B4', 'A9', 'A10', 'A11', 'A12', 'B8', 'B11', 'A16', 'A18', 'B16', 'A20', 'B19', 'B20', 'A21', 'A22', 'A23', 'B22', 'A24', 'A25', 'B25']","['A1', 'A2', 'A3', 'B1', 'A5', 'A6', 'B2', 'B3', 'A7', 'B5', 'A8', 'B6', 'B7', 'A13', 'B9', 'B10', 'A14', 'B12', 'B13', 'B14', 'A15', 'A17', 'A19', 'B15', 'B17', 'B18', 'B21', 'B23', 'B24']"
25,20,10,0,0.3,50,18,0.0516269207000732,365,"['A4', 'B4', 'A8', 'A11', 'A12', 'A13', 'A18', 'A19', 'A20', 'A21', 'A22', 'A23', 'A24', 'B25', 'A25']","['A1', 'A2', 'A3', 'B1', 'A5', 'B2', 'A6', 'A7', 'B3', 'B5', 'A9', 'A10', 'B6', 'B7', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'A14', 'B14', 'B15', 'B16', 'A15', 'A16', 'B17', 'B18', 'A17', 'B19', 'B20', 'B21', 'B22', 'B23', 'B24']"
25,20,10,0,0.3,50,19,0.0502271652221679,360,"['A3', 'A5', 'A7', 'A8', 'A9', 'A14', 'A17', 'A18', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25']","['A1', 'B1', 'A2', 'A4', 'B2', 'B3', 'A6', 'B4', 'B5', 'B6', 'B7', 'A10', 'B8', 'A11', 'A12', 'B9', 'B10', 'A13', 'A15', 'B11', 'B12', 'A16', 'B13', 'B14', 'B15', 'B16', 'B17', 'A19', 'B18', 'B19', 'B20', 'B21', 'B22', 'B23', 'B24', 'B25']"
25,20,10,0,0.3,50,20,0.0606160163879394,417,"['A3', 'A5', 'A7', 'A8', 'A12', 'A13', 'A14', 'A15', 'A16', 'A19', 'B14', 'B16', 'A22', 'A24', 'B23', 'A25']","['B1', 'A1', 'B2', 'A2', 'A4', 'B3', 'A6', 'A9', 'A10', 'A11', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'A17', 'B11', 'A18', 'B12', 'A20', 'B13', 'B15', 'B17', 'B18', 'B19', 'A21', 'B20', 'B21', 'A23', 'B22', 'B24', 'B25']"
