n_sim,p_max,w_max,gamma,delta,T,seed,time,obj,constr,schedule,deferred
10,20,10,1,0.6,50,18,0.0238058567047119,-99999,-99999,[],[]
10,20,10,1,0.6,50,19,0.0198540687561035,-99999,-99999,[],[]
10,20,10,1,0.6,50,20,0.0318241119384765,-99999,-99999,[],[]
10,20,10,1,0.6,50,21,0.0250499248504638,107,6,"['A1', 'B2', 'B3', 'A3', 'B4', 'B5', 'A6', 'A7', 'B7', 'B8', 'A9', 'B9', 'A10']","['B1', 'A2', 'A4', 'A5', 'A8', 'B6', 'B10']"
10,20,10,1,0.6,50,22,0.0274789333343505,-99999,-99999,[],[]
10,20,10,1,0.6,50,23,0.0288372039794921,173,5,"['A2', 'B2', 'B4', 'B5', 'B6', 'A8', 'B7', 'B8', 'B9', 'B10', 'A10']","['B1', 'A1', 'B3', 'A3', 'A4', 'A5', 'A6', 'A7', 'A9']"
10,20,10,1,0.6,50,24,0.021054983139038,170,5,"['B2', 'B3', 'B4', 'A4', 'A5', 'B6', 'B8', 'B9', 'A8', 'A9', 'B10', 'A10']","['B1', 'A1', 'B5', 'A2', 'A3', 'A6', 'A7', 'B7']"
10,20,10,1,0.6,50,25,0.0310442447662353,36,6,"['A1', 'A3', 'A6', 'B2', 'B3', 'A7', 'A8', 'B5', 'B6', 'A10', 'B8', 'B10']","['A2', 'A4', 'A5', 'B1', 'B4', 'A9', 'B7', 'B9']"
10,20,10,1,0.6,50,26,0.0292952060699462,-99999,-99999,[],[]
10,20,10,1,0.6,50,27,0.0274908542633056,-99999,-99999,[],[]
10,20,10,1,0.6,50,28,0.0244297981262207,-99999,-99999,[],[]
10,20,10,1,0.6,50,29,0.0291383266448974,-99999,-99999,[],[]
10,20,10,2,0.3,50,0,0.0409610271453857,-99999,-99999,[],[]
10,20,10,2,0.3,50,1,0.0409257411956787,-99999,-99999,[],[]
10,20,10,2,0.3,50,2,0.0494349002838134,-99999,-99999,[],[]
10,20,10,2,0.3,50,3,0.0464770793914794,-99999,-99999,[],[]
10,20,10,2,0.3,50,4,0.0517349243164062,-99999,-99999,[],[]
10,20,10,2,0.3,50,5,0.0573010444641113,-99999,-99999,[],[]
10,20,10,2,0.3,50,6,0.0541901588439941,285,12,"['A1', 'B3', 'B5', 'B6', 'B7', 'B9', 'B10']","['B1', 'B2', 'A2', 'A3', 'A4', 'A5', 'B4', 'A6', 'A7', 'A8', 'A9', 'B8', 'A10']"
10,20,10,2,0.3,50,7,0.0566229820251464,-99999,-99999,[],[]
10,20,10,2,0.3,50,8,0.0521540641784668,-99999,-99999,[],[]
10,20,10,2,0.3,50,9,0.0440361499786376,-99999,-99999,[],[]
10,20,10,2,0.3,50,10,0.0568737983703613,-99999,-99999,[],[]
10,20,10,2,0.3,50,11,0.0541658401489257,170,11,"['A2', 'B2', 'B3', 'B4', 'B7', 'A9', 'B9', 'B10']","['A1', 'B1', 'A3', 'A4', 'A5', 'A6', 'A7', 'B5', 'B6', 'A8', 'B8', 'A10']"
10,20,10,2,0.3,50,12,0.0481352806091308,-99999,-99999,[],[]
10,20,10,2,0.3,50,13,0.0446209907531738,364,10,"['B1', 'B2', 'A2', 'B4', 'B5', 'B6', 'B7', 'B9', 'B10']","['A1', 'B3', 'A3', 'A4', 'A5', 'A6', 'B8', 'A7', 'A8', 'A9', 'A10']"
10,20,10,2,0.3,50,14,0.0505151748657226,-99999,-99999,[],[]
10,20,10,2,0.3,50,15,0.044004201889038,-99999,-99999,[],[]
10,20,10,2,0.3,50,16,0.0387966632843017,83,11,"['A2', 'B2', 'B4', 'B5', 'B6', 'B7', 'B8', 'B9', 'B10', 'A10']","['A1', 'A3', 'A4', 'B1', 'B3', 'A5', 'A6', 'A7', 'A8', 'A9']"
10,20,10,2,0.3,50,17,0.0462887287139892,337,12,"['B2', 'B3', 'B5', 'B7', 'B8', 'B9', 'B10']","['B1', 'A1', 'B4', 'A2', 'B6', 'A3', 'A4', 'A5', 'A6', 'A7', 'A8', 'A9', 'A10']"
10,20,10,2,0.3,50,18,0.0431170463562011,-99999,-99999,[],[]
10,20,10,2,0.3,50,19,0.0418970584869384,130,11,"['B2', 'B3', 'B5', 'A6', 'B8', 'A10', 'B9', 'B10']","['A1', 'B1', 'A2', 'B4', 'A3', 'A4', 'B6', 'A5', 'B7', 'A7', 'A8', 'A9']"
10,20,10,2,0.3,50,20,0.0609631538391113,-99999,-99999,[],[]
10,20,10,2,0.3,50,21,0.0415351390838623,289,12,"['A1', 'B3', 'B4', 'B6', 'B7', 'A5', 'B8', 'B9', 'A8', 'A9']","['B1', 'B2', 'A2', 'A3', 'A4', 'B5', 'A6', 'A7', 'B10', 'A10']"
10,20,10,2,0.3,50,22,0.0508229732513427,-99999,-99999,[],[]
10,20,10,2,0.3,50,23,0.0541357994079589,-99999,-99999,[],[]
10,20,10,2,0.3,50,24,0.0377829074859619,-99999,-99999,[],[]
10,20,10,2,0.3,50,25,0.0526008605957031,-99999,-99999,[],[]
