n_sim,p_max,w_max,alpha,beta,T,seed,time,obj,constr,schedule,deferred
40,30,10,2,0.3,50,17,126.6597641,509,374,"['B3', 'RMA', 'A8', 'A11', 'A12', 'B11', 'B12', 'A16', 'A17', 'A19', 'A20', 'B17', 'A21', 'B18', 'B19', 'B20', 'A23', 'A24', 'B23', 'A28', 'A29', 'B25', 'B26', 'B29', 'B30', 'B31', 'B32', 'A34', 'A35', 'B33', 'B34', 'B35', 'A36', 'A38', 'A39', 'B37', 'A40', 'B38', 'B39', 'B40']","['B1', 'A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'B2', 'A7', 'B4', 'A9', 'B5', 'B6', 'B7', 'A10', 'B8', 'B9', 'B10', 'A13', 'A14', 'B13', 'A15', 'B14', 'B15', 'B16', 'A18', 'B21', 'B22', 'A22', 'A25', 'A26', 'B24', 'A27', 'B27', 'A30', 'B28', 'A31', 'A32', 'A33', 'A37', 'B36']"
40,30,10,2,0.3,50,18,123.551959,-99999,-99999,[],[]
40,30,10,2,0.3,50,19,127.2687972,1105,373,"['B5', 'A6', 'B10', 'RMA', 'B11', 'B15', 'B16', 'B17', 'B18', 'A18', 'B19', 'A20', 'B20', 'B21', 'A23', 'B22', 'A24', 'B23', 'B24', 'B25', 'B26', 'B29', 'A26', 'B32', 'B34', 'B36', 'A30', 'A31', 'B37', 'A35', 'B38', 'A36', 'A38', 'B39', 'B40', 'A39', 'A40']","['B1', 'B2', 'B3', 'A1', 'B4', 'B6', 'A2', 'A3', 'B7', 'A4', 'B8', 'A5', 'A7', 'B9', 'A8', 'A9', 'A10', 'B12', 'A11', 'A12', 'B13', 'A13', 'A14', 'B14', 'A15', 'A16', 'A17', 'A19', 'A21', 'A22', 'A25', 'B27', 'B28', 'B30', 'B31', 'A27', 'B33', 'A28', 'A29', 'B35', 'A32', 'A33', 'A34', 'A37']"
40,30,10,2,0.3,50,20,140.534543,-99999,-99999,[],[]
40,30,10,2,0.3,50,21,129.1123908,431,375,"['RMA', 'A5', 'A6', 'A7', 'A8', 'A11', 'B14', 'B15', 'A13', 'A15', 'A16', 'B20', 'B21', 'A18', 'A19', 'B24', 'B25', 'B26', 'A21', 'A22', 'A23', 'A25', 'B28', 'A29', 'B33', 'B34', 'A30', 'A31', 'A34', 'A35', 'B36', 'A36', 'B38', 'A38', 'B39', 'A39', 'A40']","['B1', 'B2', 'A1', 'A2', 'A3', 'B3', 'B4', 'B5', 'B6', 'B7', 'A4', 'B8', 'B9', 'B10', 'B11', 'B12', 'B13', 'A9', 'A10', 'A12', 'B16', 'A14', 'B17', 'B18', 'B19', 'A17', 'B22', 'B23', 'A20', 'A24', 'B27', 'A26', 'B29', 'A27', 'A28', 'B30', 'B31', 'B32', 'A32', 'A33', 'B35', 'A37', 'B37', 'B40']"
40,30,10,2,0.3,50,22,135.5164671,-99999,-99999,[],[]
40,30,10,2,0.3,50,23,134.5287228,1135,374,"['RMA', 'B7', 'B8', 'B10', 'B11', 'B13', 'A12', 'B16', 'A19', 'B19', 'A22', 'B22', 'B23', 'B25', 'B26', 'B27', 'B28', 'B29', 'B30', 'B32', 'A27', 'A28', 'A29', 'B34', 'A33', 'B35', 'A36', 'B38', 'B39', 'B40', 'A39', 'A40']","['A1', 'A2', 'A3', 'B1', 'B2', 'A4', 'A5', 'B3', 'B4', 'A6', 'B5', 'B6', 'A7', 'B9', 'B12', 'A8', 'B14', 'A9', 'A10', 'A11', 'A13', 'A14', 'B15', 'A15', 'A16', 'A17', 'B17', 'B18', 'A18', 'B20', 'B21', 'A20', 'A21', 'A23', 'B24', 'A24', 'A25', 'B31', 'A26', 'B33', 'A30', 'A31', 'A32', 'A34', 'A35', 'B36', 'A37', 'A38', 'B37']"
40,30,10,2,0.3,50,24,124.0530109,874,375,"['RMA', 'B4', 'B6', 'B8', 'B10', 'B12', 'A13', 'B13', 'B14', 'B15', 'B16', 'B18', 'B19', 'B20', 'B22', 'B23', 'B24', 'B25', 'B26', 'A27', 'A29', 'B28', 'A30', 'B30', 'B31', 'B32', 'B33', 'A33', 'B34', 'A34', 'A36', 'A37', 'B36', 'B40', 'A39', 'A40']","['A1', 'A2', 'A3', 'A4', 'A5', 'A6', 'A7', 'B1', 'A8', 'B2', 'B3', 'B5', 'B7', 'B9', 'A9', 'A10', 'B11', 'A11', 'A12', 'A14', 'A15', 'B17', 'A16', 'A17', 'A18', 'A19', 'B21', 'A20', 'A21', 'A22', 'A23', 'A24', 'A25', 'A26', 'B27', 'A28', 'B29', 'A31', 'A32', 'A35', 'B35', 'B37', 'B38', 'B39', 'A38']"
40,30,10,2,0.3,50,25,130.1430652,-99999,-99999,[],[]
40,30,10,2,0.3,50,26,127.752845,-99999,-99999,[],[]
40,30,10,2,0.3,50,27,121.9076691,684,370,"['B8', 'RMA', 'B13', 'B17', 'B20', 'B21', 'A14', 'B24', 'A15', 'B25', 'A18', 'B28', 'A20', 'A21', 'B30', 'B31', 'B33', 'A23', 'B35', 'B36', 'A27', 'A29', 'A30', 'A31', 'A33', 'A34', 'A35', 'A37', 'A38', 'B39', 'B40', 'A40']","['B1', 'B2', 'A1', 'A2', 'A3', 'B3', 'B4', 'B5', 'B6', 'A4', 'B7', 'B9', 'B10', 'B11', 'B12', 'A5', 'A6', 'A7', 'A8', 'B14', 'B15', 'B16', 'B18', 'B19', 'A9', 'A10', 'A11', 'A12', 'A13', 'B22', 'B23', 'A16', 'A17', 'B26', 'B27', 'A19', 'B29', 'B32', 'A22', 'A24', 'A25', 'B34', 'B37', 'A26', 'A28', 'A32', 'A36', 'B38', 'A39']"
40,30,10,2,0.3,50,28,127.7033911,1496,372,"['RMA', 'B7', 'B8', 'B10', 'B11', 'A8', 'B13', 'A12', 'B15', 'B17', 'A15', 'B18', 'B20', 'B21', 'B22', 'A19', 'A20', 'A21', 'B23', 'B24', 'B25', 'B26', 'A29', 'B29', 'B30', 'B32', 'B34', 'A32', 'A33', 'A34', 'B36', 'B37', 'A35', 'A36', 'A37', 'B39', 'A39', 'B40']","['B1', 'A1', 'A2', 'B2', 'B3', 'A3', 'B4', 'B5', 'A4', 'B6', 'A5', 'B9', 'A6', 'A7', 'B12', 'A9', 'B14', 'A10', 'A11', 'A13', 'B16', 'A14', 'B19', 'A16', 'A17', 'A18', 'A22', 'A23', 'A24', 'B27', 'A25', 'A26', 'A27', 'A28', 'B28', 'B31', 'B33', 'B35', 'A30', 'A31', 'B38', 'A38', 'A40']"
40,30,10,2,0.3,50,29,116.3937578,903,375,"['A1', 'B2', 'B4', 'A13', 'RMA', 'B9', 'B10', 'B12', 'B13', 'B14', 'B15', 'A18', 'B17', 'B18', 'A19', 'B20', 'B24', 'B25', 'A22', 'A23', 'B26', 'A25', 'B27', 'B28', 'B30', 'B32', 'A28', 'A29', 'A31', 'A32', 'A33', 'B33', 'B34', 'A34', 'A35', 'B36', 'A36', 'B37', 'A38', 'B38', 'B39', 'A39', 'B40', 'A40']","['A2', 'A3', 'B1', 'A4', 'A5', 'A6', 'B3', 'A7', 'B5', 'A8', 'A9', 'A10', 'B6', 'A11', 'A12', 'B7', 'B8', 'A14', 'A15', 'B11', 'A16', 'B16', 'A17', 'B19', 'A20', 'B21', 'A21', 'B22', 'B23', 'A24', 'A26', 'A27', 'B29', 'B31', 'A30', 'B35', 'A37']"
40,30,10,2,0.6,50,0,113.5368907,91,375,"['A4', 'A7', 'B3', 'A8', 'A9', 'A11', 'A12', 'A13', 'A14', 'A15', 'B8', 'A16', 'B9', 'B10', 'A17', 'RMA', 'A18', 'B12', 'B13', 'B14', 'B15', 'B16', 'B17', 'B18', 'B19', 'B20', 'A19', 'A20', 'A21', 'A22', 'B21', 'A23', 'A24', 'B22', 'A25', 'B23', 'B24', 'A26', 'A27', 'B25', 'B26', 'B27', 'B28', 'B29', 'B30', 'A28', 'B31', 'A29', 'B32', 'A30', 'B33', 'B34', 'B35', 'A31', 'B36', 'A32', 'A33', 'B37', 'B38', 'A34', 'A35', 'A36', 'B40', 'A37', 'A38', 'A39', 'A40']","['A1', 'A2', 'A3', 'B1', 'A5', 'B2', 'A6', 'B4', 'B5', 'A10', 'B6', 'B7', 'B11', 'B39']"
40,30,10,2,0.6,50,1,106.681874,20,375,"['A2', 'RMA', 'A3', 'A4', 'A5', 'A6', 'B8', 'B9', 'A7', 'A8', 'B10', 'A9', 'A10', 'B11', 'B12', 'B13', 'A11', 'A12', 'B15', 'A13', 'A14', 'B17', 'B18', 'A15', 'B19', 'A16', 'A17', 'B20', 'B22', 'B23', 'A18', 'A19', 'A20', 'A21', 'A22', 'B24', 'B25', 'B26', 'A23', 'A24', 'A25', 'B27', 'A26', 'B28', 'A27', 'A28', 'A29', 'A30', 'A31', 'A32', 'B31', 'A33', 'A34', 'A35', 'A36', 'B34', 'A37', 'B35', 'B36', 'A38', 'A39', 'B37', 'B38', 'B39', 'A40']","['A1', 'B1', 'B2', 'B3', 'B4', 'B5', 'B6', 'B7', 'B14', 'B16', 'B21', 'B29', 'B30', 'B32', 'B33', 'B40']"
40,30,10,2,0.6,50,2,116.9041381,31,374,"['A2', 'A3', 'A5', 'A6', 'RMA', 'B9', 'A7', 'A8', 'A9', 'A10', 'B10', 'A11', 'B11', 'A12', 'A13', 'A14', 'A15', 'A16', 'A17', 'A18', 'B12', 'A19', 'A20', 'B13', 'B14', 'A21', 'B16', 'B17', 'B18', 'B19', 'A22', 'B20', 'A23', 'A24', 'B21', 'B22', 'A25', 'B23', 'A26', 'B24', 'A27', 'A28', 'A29', 'B25', 'A30', 'B27', 'B28', 'B29', 'A31', 'A32', 'A33', 'A34', 'B30', 'A35', 'B31', 'B32', 'A36', 'B33', 'B34', 'A37', 'B35', 'B36', 'A38', 'A39', 'A40', 'B38', 'B40']","['A1', 'B1', 'B2', 'B3', 'A4', 'B4', 'B5', 'B6', 'B7', 'B8', 'B15', 'B26', 'B37', 'B39']"
